source,task,depth,action,residual,is_policy_pick,is_measured_best,spread
branch_records_p3.jsonl,pegasus3-fill30-a3.0-88,6,136,0.13772386695906452,0,0,0.040318896198830556
branch_records_p3.jsonl,pegasus3-fill30-a3.0-88,47,9,0.16472496345029256,1,0,0.08086622807017543
branch_records_p3.jsonl,pegasus3-fill30-a3.0-88,47,11,0.15864857456140372,0,0,0.08086622807017543
branch_records_p3.jsonl,pegasus3-fill30-a3.0-88,47,29,0.1803728070175441,0,0,0.08086622807017543
branch_records_p3.jsonl,pegasus3-fill30-a3.0-88,47,78,0.09950657894736867,0,1,0.08086622807017543
branch_records_p3.jsonl,pegasus3-fill30-a3.0-88,51,1,0.1431606359649126,1,0,0.03198099415204672
branch_records_p3.jsonl,pegasus3-fill30-a3.0-88,51,3,0.16744334795321658,0,0,0.03198099415204672
branch_records_p3.jsonl,pegasus3-fill30-a3.0-88,51,69,0.1473181652046786,0,0,0.03198099415204672
branch_records_p3.jsonl,pegasus3-fill30-a3.0-88,51,104,0.13546235380116986,0,1,0.03198099415204672
branch_records_p3.jsonl,pegasus3-fill30-a3.0-95,15,4,0.08445394163763074,1,0,0.00817998693379797
branch_records_p3.jsonl,pegasus3-fill30-a3.0-95,15,21,0.08144599303135887,0,0,0.00817998693379797
branch_records_p3.jsonl,pegasus3-fill30-a3.0-95,15,104,0.07627395470383277,0,1,0.00817998693379797
branch_records_p3.jsonl,pegasus3-fill30-a3.0-95,15,118,0.08257567508710806,0,0,0.00817998693379797
branch_records_p3.jsonl,pegasus3-fill30-a3.0-95,17,4,0.07179605836236931,1,1,0.05176121515679445
branch_records_p3.jsonl,pegasus3-fill30-a3.0-95,17,10,0.11208351480836246,0,0,0.05176121515679445
branch_records_p3.jsonl,pegasus3-fill30-a3.0-95,17,64,0.12355727351916376,0,0,0.05176121515679445
branch_records_p3.jsonl,pegasus3-fill30-a3.0-95,17,93,0.07436846689895465,0,0,0.05176121515679445
branch_records_p3.jsonl,pegasus3-fill30-a3.0-95,27,4,0.07951328397212545,1,0,0.025234102787456553
branch_records_p3.jsonl,pegasus3-fill30-a3.0-95,27,6,0.06101644163763063,0,1,0.025234102787456553
branch_records_p3.jsonl,pegasus3-fill30-a3.0-95,27,71,0.08113294860627179,0,0,0.025234102787456553
branch_records_p3.jsonl,pegasus3-fill30-a3.0-95,27,82,0.08625054442508719,0,0,0.025234102787456553
branch_records_p3.jsonl,pegasus3-fill30-a3.0-95,30,15,0.07239492595818817,1,1,0.04830411585365858
branch_records_p3.jsonl,pegasus3-fill30-a3.0-95,30,18,0.12069904181184675,0,0,0.04830411585365858
branch_records_p3.jsonl,pegasus3-fill30-a3.0-95,30,61,0.09124564459930316,0,0,0.04830411585365858
branch_records_p3.jsonl,pegasus3-fill30-a3.0-95,30,108,0.0928516986062718,0,0,0.04830411585365858
branch_shard0.jsonl,pegasus3-fill30-a3.0-89,4,0,0.07609627016129025,1,1,0.022744455645161393
branch_shard0.jsonl,pegasus3-fill30-a3.0-89,4,6,0.0762096774193548,0,0,0.022744455645161393
branch_shard0.jsonl,pegasus3-fill30-a3.0-89,4,32,0.08198084677419346,0,0,0.022744455645161393
branch_shard0.jsonl,pegasus3-fill30-a3.0-89,4,72,0.09884072580645165,0,0,0.022744455645161393
branch_shard0.jsonl,pegasus3-fill30-a3.0-89,19,12,0.09595514112903221,1,0,0.029662298387096844
branch_shard0.jsonl,pegasus3-fill30-a3.0-89,19,15,0.06629284274193536,0,1,0.029662298387096844
branch_shard0.jsonl,pegasus3-fill30-a3.0-89,19,64,0.09284274193548392,0,0,0.029662298387096844
branch_shard0.jsonl,pegasus3-fill30-a3.0-89,19,109,0.08475302419354827,0,0,0.029662298387096844
branch_shard0.jsonl,pegasus3-fill30-a3.0-89,25,8,0.06990927419354837,0,0,0.016822076612903164
branch_shard0.jsonl,pegasus3-fill30-a3.0-89,25,10,0.07390372983870963,1,0,0.016822076612903164
branch_shard0.jsonl,pegasus3-fill30-a3.0-89,25,97,0.06844758064516125,0,1,0.016822076612903164
branch_shard0.jsonl,pegasus3-fill30-a3.0-89,25,99,0.08526965725806442,0,0,0.016822076612903164
branch_shard0.jsonl,pegasus3-fill30-a3.0-89,74,17,0.09255292338709678,1,0,0.021887600806451704
branch_shard0.jsonl,pegasus3-fill30-a3.0-89,74,18,0.07919606854838704,0,1,0.021887600806451704
branch_shard0.jsonl,pegasus3-fill30-a3.0-89,74,24,0.09765625,0,0,0.021887600806451704
branch_shard0.jsonl,pegasus3-fill30-a3.0-89,74,51,0.10108366935483874,0,0,0.021887600806451704
branch_shard0.jsonl,pegasus3-fill30-a3.0-21,33,10,0.04004510309278352,1,1,0.084262242268041
branch_shard0.jsonl,pegasus3-fill30-a3.0-21,33,11,0.04552190721649489,0,0,0.084262242268041
branch_shard0.jsonl,pegasus3-fill30-a3.0-21,33,101,0.12430734536082452,0,0,0.084262242268041
branch_shard0.jsonl,pegasus3-fill30-a3.0-21,33,131,0.11873389175257715,0,0,0.084262242268041
branch_shard0.jsonl,pegasus3-fill30-a3.0-21,36,19,0.07714239690721644,0,0,0.024307345360824704
branch_shard0.jsonl,pegasus3-fill30-a3.0-21,36,240,0.057844716494845384,1,0,0.024307345360824704
branch_shard0.jsonl,pegasus3-fill30-a3.0-21,36,242,0.064867912371134,0,0,0.024307345360824704
branch_shard0.jsonl,pegasus3-fill30-a3.0-21,36,361,0.05283505154639174,0,1,0.024307345360824704
branch_shard0.jsonl,pegasus3-fill30-a3.0-21,53,1,0.04371778350515464,1,0,0.07706185567010296
branch_shard0.jsonl,pegasus3-fill30-a3.0-21,53,25,0.03917525773195874,0,1,0.07706185567010296
branch_shard0.jsonl,pegasus3-fill30-a3.0-21,53,49,0.11623711340206169,0,0,0.07706185567010296
branch_shard0.jsonl,pegasus3-fill30-a3.0-21,53,66,0.08229703608247413,0,0,0.07706185567010296
branch_shard0.jsonl,pegasus3-fill30-a3.0-120,3,13,0.10307112068965532,1,0,0.01728448275862071
branch_shard0.jsonl,pegasus3-fill30-a3.0-120,3,20,0.08578663793103461,0,1,0.01728448275862071
branch_shard0.jsonl,pegasus3-fill30-a3.0-120,3,24,0.09047413793103458,0,0,0.01728448275862071
branch_shard0.jsonl,pegasus3-fill30-a3.0-120,3,136,0.09508620689655187,0,0,0.01728448275862071
branch_shard0.jsonl,pegasus3-fill30-a3.0-120,39,2,0.11891163793103451,0,0,0.03392241379310333
branch_shard0.jsonl,pegasus3-fill30-a3.0-120,39,3,0.12145474137931056,1,0,0.03392241379310333
branch_shard0.jsonl,pegasus3-fill30-a3.0-120,39,96,0.10153017241379324,0,1,0.03392241379310333
branch_shard0.jsonl,pegasus3-fill30-a3.0-120,39,150,0.13545258620689657,0,0,0.03392241379310333
branch_shard0.jsonl,pegasus3-fill30-a3.0-120,59,4,0.1720797413793106,0,0,0.09338362068965526
branch_shard0.jsonl,pegasus3-fill30-a3.0-120,59,78,0.17098060344827604,1,0,0.09338362068965526
branch_shard0.jsonl,pegasus3-fill30-a3.0-120,59,80,0.08494612068965525,0,1,0.09338362068965526
branch_shard0.jsonl,pegasus3-fill30-a3.0-120,59,150,0.1783297413793105,0,0,0.09338362068965526
branch_shard0.jsonl,pegasus3-fill30-a3.0-120,63,55,0.13056034482758627,1,0,0.04553879310344838
branch_shard0.jsonl,pegasus3-fill30-a3.0-120,63,57,0.09033405172413797,0,1,0.04553879310344838
branch_shard0.jsonl,pegasus3-fill30-a3.0-120,63,58,0.093146551724138,0,0,0.04553879310344838
branch_shard0.jsonl,pegasus3-fill30-a3.0-120,63,113,0.13587284482758635,0,0,0.04553879310344838
branch_shard0.jsonl,pegasus3-fill30-a3.0-184,24,15,0.05383522727272744,1,1,0.018491735537190038
branch_shard0.jsonl,pegasus3-fill30-a3.0-184,24,17,0.06592200413223152,0,0,0.018491735537190038
branch_shard0.jsonl,pegasus3-fill30-a3.0-184,24,95,0.07232696280991747,0,0,0.018491735537190038
branch_shard0.jsonl,pegasus3-fill30-a3.0-184,24,98,0.05903925619834728,0,0,0.018491735537190038
branch_shard0.jsonl,pegasus3-fill30-a3.0-184,38,1,0.04828254132231425,0,0,0.0812629132231403
branch_shard0.jsonl,pegasus3-fill30-a3.0-184,38,10,0.033600206611570434,1,1,0.0812629132231403
branch_shard0.jsonl,pegasus3-fill30-a3.0-184,38,79,0.11486311983471074,0,0,0.0812629132231403
branch_shard0.jsonl,pegasus3-fill30-a3.0-184,38,102,0.03855888429752084,0,0,0.0812629132231403
branch_shard0.jsonl,pegasus3-fill30-a3.0-184,58,0,0.06185433884297538,1,0,0.062202995867768646
branch_shard0.jsonl,pegasus3-fill30-a3.0-184,58,1,0.06650309917355383,0,0,0.062202995867768646
branch_shard0.jsonl,pegasus3-fill30-a3.0-184,58,64,0.1066244834710746,0,0,0.062202995867768646
branch_shard0.jsonl,pegasus3-fill30-a3.0-184,58,96,0.044421487603305956,0,1,0.062202995867768646
branch_shard0.jsonl,pegasus3-fill30-a3.0-184,62,0,0.053176652892562126,0,1,0.02209452479338843
branch_shard0.jsonl,pegasus3-fill30-a3.0-184,62,1,0.05360278925619852,1,0,0.02209452479338843
branch_shard0.jsonl,pegasus3-fill30-a3.0-184,62,4,0.0577479338842977,0,0,0.02209452479338843
branch_shard0.jsonl,pegasus3-fill30-a3.0-184,62,34,0.07527117768595055,0,0,0.02209452479338843
