task_index,source,break_rate,length,internal_edges,redundancy,cut_vertices,logical_degree,coupling_mass,contacts,mass_per_contact,max_contact_load,load_concentration,field
1,policy1,0.01220703125,2.0,1.0,0.0,0.0,2.0,7.0,5.0,1.4,1.55,1.087719298245614,0.0
1,policy1,0.03076171875,2.0,1.0,0.0,0.0,2.0,2.8,3.0,0.9333333333333332,1.4,1.3333333333333335,0.0
1,minorminer,0.0,1.0,0.0,0.0,0.0,2.0,5.0,2.0,2.5,2.5,1.0,0.0
1,minorminer,0.00048828125,2.0,1.0,0.0,0.0,6.0,12.799999999999999,7.0,1.8285714285714285,3.9,2.0259740259740258,0.0
1,minorminer,0.0,1.0,0.0,0.0,0.0,5.0,14.8,6.0,2.466666666666667,3.9,1.4391143911439115,0.0
1,minorminer,0.0,1.0,0.0,0.0,0.0,2.0,5.0,2.0,2.5,2.5,1.0,0.0
1,minorminer,0.0,1.0,0.0,0.0,0.0,2.0,7.0,2.0,3.5,3.9,1.1142857142857143,0.0
1,minorminer,0.0,1.0,0.0,0.0,0.0,2.0,6.2,2.0,3.1,3.1,1.0,0.0
1,minorminer,0.0,1.0,0.0,0.0,0.0,3.0,7.8,3.0,2.6,3.4,1.3076923076923077,0.0
1,minorminer,0.0,1.0,0.0,0.0,0.0,2.0,5.0,2.0,2.5,2.9,1.16,0.0
1,minorminer,0.0,1.0,0.0,0.0,0.0,2.0,5.0,2.0,2.5,2.5,1.0,0.0
1,minorminer,0.0,1.0,0.0,0.0,0.0,3.0,5.6,3.0,1.8666666666666665,3.4,1.8214285714285716,0.0
1,minorminer,0.0,1.0,0.0,0.0,0.0,3.0,3.5999999999999996,3.0,1.2,1.9,1.5833333333333333,0.0
1,minorminer,0.0,1.0,0.0,0.0,0.0,3.0,7.0,3.0,2.3333333333333335,3.5,1.5,0.0
1,minorminer,0.0,1.0,0.0,0.0,0.0,3.0,7.8,3.0,2.6,3.3,1.2692307692307692,0.0
1,minorminer,0.0,1.0,0.0,0.0,0.0,3.0,7.0,3.0,2.3333333333333335,3.5,1.5,0.0
1,minorminer,0.0,1.0,0.0,0.0,0.0,4.0,7.2,4.0,1.8,2.5,1.3888888888888888,0.0
1,minorminer,0.0,1.0,0.0,0.0,0.0,3.0,7.800000000000001,3.0,2.6,3.5,1.346153846153846,0.0
1,minorminer,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,minorminer,0.0,1.0,0.0,0.0,0.0,5.0,12.8,5.0,2.56,3.5,1.3671875,0.0
1,minorminer,0.0,1.0,0.0,0.0,0.0,2.0,5.0,2.0,2.5,3.9,1.56,0.0
1,minorminer,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,minorminer,0.0,1.0,0.0,0.0,0.0,2.0,7.8,2.0,3.9,3.9,1.0,0.0
1,minorminer,0.0,1.0,0.0,0.0,0.0,3.0,6.8,3.0,2.2666666666666666,3.1,1.3676470588235294,0.0
1,minorminer,0.0,1.0,0.0,0.0,0.0,2.0,7.0,2.0,3.5,3.5,1.0,0.0
1,minorminer,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,minorminer,0.0,1.0,0.0,0.0,0.0,2.0,7.0,2.0,3.5,3.5,1.0,0.0
1,minorminer,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,minorminer,0.0,1.0,0.0,0.0,0.0,2.0,5.8,2.0,2.9,3.9,1.3448275862068966,0.0
1,minorminer,0.0,1.0,0.0,0.0,0.0,2.0,7.0,2.0,3.5,3.9,1.1142857142857143,0.0
1,minorminer,0.0,1.0,0.0,0.0,0.0,2.0,2.8,2.0,1.4,1.4,1.0,0.0
2,policy0,0.10986328125,5.0,5.0,1.0,2.0,5.0,6.2,16.0,0.3875,2.1,2.791728212703102,0.0
2,policy0,0.0185546875,6.0,5.0,0.0,4.0,6.0,8.8,21.0,0.41904761904761906,2.0,2.583732057416268,0.0
2,policy0,0.0,1.0,0.0,0.0,0.0,7.0,16.8,8.0,2.1,2.9,1.367003367003367,0.0
2,policy0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,policy0,0.04736328125,2.0,1.0,0.0,0.0,2.0,6.2,4.0,1.55,2.7,1.396551724137931,0.0
2,policy0,0.03076171875,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,policy0,0.01953125,4.0,4.0,1.0,1.0,5.0,10.4,20.0,0.52,1.95,2.202007528230866,0.0
2,policy0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,policy0,0.03955078125,4.0,4.0,1.0,1.0,2.0,5.0,2.0,2.5,3.6999999999999997,1.48,0.0
2,policy0,0.0048828125,2.0,1.0,0.0,0.0,3.0,5.0,10.0,0.5,1.1,1.7368421052631577,0.0
2,policy0,0.56787109375,4.0,3.0,0.0,2.0,3.0,5.0,8.0,0.625,2.5,2.25,0.0
2,policy0,0.02880859375,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,policy0,0.0,1.0,0.0,0.0,0.0,3.0,5.0,3.0,1.6666666666666667,2.5,1.5,0.0
2,policy0,0.0,1.0,0.0,0.0,0.0,4.0,7.0,5.0,1.4,3.5,2.1705426356589146,0.0
2,policy0,0.0009765625,2.0,1.0,0.0,0.0,3.0,5.800000000000001,3.0,1.9333333333333336,2.9,1.5,0.0
2,policy0,0.02587890625,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,policy0,0.11376953125,2.0,1.0,0.0,0.0,2.0,6.2,3.0,2.066666666666667,2.7,1.2134831460674158,0.0
2,policy0,0.0,1.0,0.0,0.0,0.0,2.0,0.8,2.0,0.4,0.4,1.0,0.0
2,policy0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,policy0,0.033203125,8.0,14.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,policy0,0.0,2.0,1.0,0.0,0.0,5.0,12.600000000000001,9.0,1.4000000000000001,3.5,2.147239263803681,0.0
2,policy0,0.087890625,4.0,3.0,0.0,1.0,2.0,7.0,5.0,1.4,1.75,1.2,0.0
2,policy0,0.16943359375,2.0,1.0,0.0,0.0,2.0,5.0,4.0,1.25,3.6999999999999997,1.7903225806451615,0.0
2,policy0,0.0,1.0,0.0,0.0,0.0,2.0,5.8,3.0,1.9333333333333333,1.95,1.012987012987013,0.0
2,policy0,0.0,1.0,0.0,0.0,0.0,2.0,1.2,3.0,0.39999999999999997,1.0,1.8181818181818181,0.0
2,policy0,0.0,1.0,0.0,0.0,0.0,2.0,5.0,2.0,2.5,3.9,1.56,0.0
2,policy0,0.2900390625,4.0,3.0,0.0,2.0,4.0,6.6000000000000005,15.0,0.44000000000000006,3.9,2.6242990654205607,0.0
2,policy1,0.0,1.0,0.0,0.0,0.0,5.0,6.2,8.0,0.775,2.1,2.266187050359712,0.0
2,policy1,0.01513671875,3.0,2.0,0.0,1.0,6.0,8.8,18.0,0.48888888888888893,0.7999999999999999,1.6744186046511627,0.0
2,policy1,0.005859375,3.0,2.0,0.0,1.0,7.0,16.8,17.0,0.9882352941176471,3.9,2.7460184409052806,0.0
2,policy1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,policy1,0.9052734375,3.0,2.0,0.0,1.0,2.0,6.2,2.0,3.1,3.5,1.129032258064516,0.0
2,policy1,0.0634765625,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,policy1,0.1748046875,5.0,4.0,0.0,2.0,5.0,10.4,6.0,1.7333333333333334,3.9,2.0,0.0
2,policy1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,policy1,0.0,1.0,0.0,0.0,0.0,2.0,5.0,2.0,2.5,3.6999999999999997,1.48,0.0
